№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
186;2107-1701025-01;;Вал первичный КПП 18 з. в сборе;650;;шт;4800;2;;;;;;9600;68281;;
187;21902-2215011;;Вал привода 2190 левый АКПП;;2204;шт;3000;0;;;;;;0;68280;;
188;21902-2215010;;Вал привода 2190 правый АКПП;;6720;шт;8500;0;;;;;;0;Т4390;;
189;1118-2215092-00;;Вал привода 1118 правый;1150;6207;шт;8000;0;;;;;;0;854;;
190;2110-2215092;;вал привода 010 правый;370;;шт;3000;1;;;;;;3000;;;
191;2108-2215070;;Вал привода 08 левый;180;;шт;1350;2;;;;;;2700;;;
192;2108-2215092;;Вал привода 08 правый;420;;шт;3000;1;;;;;;3000;;;
193;2121-2215070;;Вал привода 213;155;;шт;1400;3;;;;;;4200;;;
194;2103-3401160;;Вал рулевой 2106 ВАЗ;350;1464;шт;2600;1;;;;;;2600;;;
195;2104-1130010;;Валюметр 07;1450;6332;шт;9000;0;;;;;;0;;;
196;280218037;;Валюметр 1.5;1730;;шт;13000;0;;;;;;0;157;;
197;0280218037К;*;Валюметр 1.5  ;;4700;шт;6000;2;;;;;;12000;;;
198;21083-1130010-20/0280218116;;Валюметр 1.6;1250;7328;шт;9000;0;;;;;;0;1220;;
199;1118-1130010;;Валюметр Калина;1200;;шт;9000;0;;;;;;0;;;
200;2170-1130010-00;;Валюметр Приора;1250;6628;шт;9000;0;;;;;;0;;;
201;2101-1005115-01;;Венец маховика 01;150;;шт;1150;2;;;;;;2300;;;
202;2101-1005115-01К;*;Венец маховика 01 ;16;;шт;650;4;;;;;;2600;1500;;
203;2108-1005115-01;;Венец маховика 08;150;;шт;1150;2;;;;;;2300;;;
204;2106-3709310;;Вертолет 06;370;;шт;2700;2;;;;;;5400;;;
205;2106-3709310К;*;Вертолет 06 ;27;876;шт;1500;2;;;;;;3000;Т7319;;
206;2105-3709310;;Вертолет 07;390;;шт;2700;2;;;;;;5400;369;;
