№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
133;808725725R C;;Молдинг двери передний правый Дастер Francecar;;4261;шт;6000;1;;;;;;6000;600764;;
134;8200785077;;Молдинг капота Логан хром Francecar;;5265;шт;7000;2;;;;;;14000;600635;;
135;8200748242;;Молдинг капота Логан черн Ars;;3221;шт;4500;1;;;;;;4500;600872;;
136;8200763571;;Молдинг решетки Сандеро хром Тайвань;;7569;шт;10000;1;;;;;;10000;600836;;
137;8200567224;;Молдинг решетки Сандеро черн Атек;;4248;шт;6000;2;;;;;;12000;600878;;
138;8200194414;;Мотор омывателя Ларгус Asam;;1564;шт;2500;2;;;;;;5000;600982;;
139;6001547691;;Мотор печки без конд Ларгус Luzar;;7216;шт;9500;1;;;;;;9500;600486;;
140;6001547487;;Мотор печки с конд Ларгус Luzar;;6652;шт;9000;1;;;;;;9000;600485;;
141;;;Н;;;;;0;;;;;;0;;;
142;850701407R;;Накладка бампера заднего нижняя Дастер Francecar;;2717;шт;4000;1;;;;;;4000;600769;;
143;8200577919;;Накладка бампера заднего нижняя Сандеро Тайвань;;9657;шт;13000;1;;;;;;13000;600852;;
144;620728255R;;Накладка бампера переднего Дастер Francecar;;2790;шт;4000;2;;;;;;8000;600708;;
145;620723692R;;Накладка бампера переднего Сандеро серебро Тайвань;;6318;шт;8500;1;;;;;;8500;600838;;
146;620723692Rчерн;;Накладка бампера переднего Сандеро черная Тайвань;;5714;шт;8000;1;;;;;;8000;601093;;
147;8200765203;;Накладка бампера переднего Сандеро нижняя черная Тайвань;;3204;шт;5000;1;;;;;;5000;600904;;
148;960169632B;;Накладка бампера переднего правая Дастер Тайвань;;3052;шт;4500;1;;;;;;4500;600860;;
149;963747198R;;Накладка зеркала правая Ларгус Renault;;4610;шт;6500;1;;;;;;6500;600067;;
150;788A33613R;;Накладка крыла заднего левого Дастер Francecar;;4080;шт;6000;1;;;;;;6000;600770;;
151;788A24426R;;Накладка крыла заднего правого Дастер Francecar;;4080;шт;6000;1;;;;;;6000;600771;;
152;668220006R;;Накладка петли капота левая Дастер Francecar;;1261;шт;2000;1;;;;;;2000;600772;;
153;668220005R;;Накладка петли капота правая Дастер Francecar;;1261;шт;2000;1;;;;;;2000;600773;;
154;6001550443;;Наконечник рулевой правый Ларгус Pilenga;;1238;шт;2000;2;;;;;;4000;600530;;
155;;;О;;;;;0;;;;;;0;;;
156;6001546886;;Ограничитель двери Ларгус Npa;;2109;шт;3000;1;;;;;;3000;600717;;
157;8201108350;;Осевой шарнир Дастер Asam;;1618;шт;2500;2;;;;;;5000;600928;;
158;6001550441;;Осевой шарнир Ларгус Белмаг;;981;шт;1500;2;;;;;;3000;600575;;
159;7700416374;;Ось ступицы задняя Логан Asam;;2334;шт;3500;2;;;;;;7000;600970;;
160;8200490662;;Ось ступицы задняя Логан Asam;;3525;шт;5000;2;;;;;;10000;600978;;
161;;;П;;;;;0;;;;;;0;;;
162;6001549854;;Панель крыла переднего Логан левая внутр Asam;;8224;шт;11000;1;;;;;;11000;600951;;
163;6001549856;;Панель крыла переднего Логан правая внутр Asam;;7867;шт;11000;1;;;;;;11000;600952;;
164;7703074022;;Пистон заднего бампера, внутр обивки Asam;;56;шт;80;25;;;;;;2000;601011;;
165;7703077435;;Пистон крепления подкрылка,обшивки багажн Ларгус Francecar;;23;шт;50;14;;;;;;700;600777;;
166;7703081184;;Пистон молдинга крыла Asam;;68;шт;100;10;;;;;;1000;601013;;
167;7703072236;;Пистон молдинга порога Asam;;71;шт;100;10;;;;;;1000;601008;;
168;6,0701E+12;;Подкрылки задние Логан Ллокер;;2050;кт;3000;3;;;;;;9000;600610;;
169;6,0701E+12;;Подкрылки передние Логан Ллокер;;2094;кт;3000;3;;;;;;9000;600609;;
170;6001547113;;Подкрылок заднего колеса левый передняя часть Ларгус Renault;;3086;шт;4000;1;;;;;;4000;600442;;
171;6001547114;;Подкрылок заднего колеса правый передняя часть Ларгус Renault;;3171;шт;4000;1;;;;;;4000;600443;;
172;8200735438;;Подкрылок передний левый Сандеро Francecar;;3600;шт;4800;1;;;;;;4800;600779;;
173;8200735437;;Подкрылок передний правый Сандеро Francecar;;3600;шт;4800;1;;;;;;4800;600780;;
174;544010119R;;Подрамник передней подвески Дастер Torque;;59808;шт;70000;1;;;;;;70000;600915;;
175;8200805813;;Подушка ДВС задняя нижняя Дастер Asam;;7763;шт;10000;2;;;;;;20000;600921;;
176;8200352861;;Подушка КПП Дастер Febest;;2939;шт;4000;2;;;;;;8000;600919;;
177;112201332R;;Подушка КПП Дастер Sasic;;4985;шт;7000;1;;;;;;7000;600918;;
178;6001548160;;Подушка КПП Ларгус Asam;;2119;шт;3500;2;;;;;;7000;600138;;
179;7700430992;;Подушка крепления радиатора нижняя Asam;;182;шт;400;3;;;;;;1200;600451;;
180;402109533R;;Подшипник задней ступицы Дастер Asam;;4662;шт;7000;2;;;;;;14000;600925;;
181;6001548986;;Подшипник задней ступицы Логан Asam;;3775;шт;6000;2;;;;;;12000;600992;;
182;7701205812;;Подшипник задней ступицы Логан Francecar;;1948;шт;3500;2;;;;;;7000;600782;;
183;402107049R;;Подшипник передней ступицы Дастер Asam c AБС;;6644;шт;9000;2;;;;;;18000;601005;;
184;7701475995;;Помпа Renault Дастер Luzar 1.5dCi;;3530;шт;5000;1;;;;;;5000;601105;;
185;7701472182;;Помпа Renault Дастер Luzar 2.0;;2864;шт;4500;1;;;;;;4500;600645;;
186;253312702R;;Прикуриватель Логан Francecar;;722;шт;1300;2;;;;;;2600;600783;;
187;7703075348;;Пробка картера ДВС Ларгус, Гранта сливная Renault;;517;шт;800;2;;;;;;1600;600276;;
188;8200052312;;Прокладка впускн коллектора 16кл середина Ларгус Reinz;;732;шт;1300;2;;;;;;2600;600332;;
189;8200066662;;Прокладка впускн коллектора 16кл Ларгус Renault;;937;шт;1500;2;;;;;;3000;600211;;
190;7701471932;;Прокладка впускн коллектора 8кл Ларгус Ajusa;;450;шт;800;2;;;;;;1600;600321;;
191;8200191371;;Прокладка выпускн коллектора 8кл Ларгус Renault;;1007;шт;1700;2;;;;;;3400;600217;;
