№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
376;2101-1200020-81;;Глушитель-резонатор 01 ВАЗ;;1822;шт;2200;2;;;;;;4400;Т5602;;
377;2103-1200020-81;;Глушитель-резонатор 03 ВАЗ;;2394;шт;2900;0;;;;;;0;799;;
378;2101-1202005;;Глушитель-резонатор 01   ;;2100;шт;2500;0;;;;;;0;1686;;
379;2103-1202005;;Глушитель-резонатор 06;;2290;шт;2800;0;;;;;;0;;;
380;2108-1202005;;Глушитель-резонатор 08;;2200;шт;2700;1;;;;;;2700;115315;;
381;2121-1202005;;Глушитель-резонатор 2121;;2100;шт;2500;1;;;;;;2500;Т2220;;
382;21213-1202005;;Глушитель-резонатор 213;1802;;шт;2500;1;;;;;;2500;120964;;
383;1007080;;Гнезда клапанов выхлопные 01-21-09-010 8кл;28;;шт;250;0;;;;;;0;2035;;
384;21114-1003011;;Головка 08 голая;5800;33550;шт;43000;0;;;;;;0;;;
385;21011-1003011-01;;Головка 2107 в сборе;6900;;шт;50000;0;;;;;;0;у3129;;
386;21114-1003015;;Головка 2108 в сборе;9200;;шт;65000;0;;;;;;0;798;;
387;;;Головка 2109 в сборе инжектор;9000;;шт;65000;1;;;;;;65000;2034;;
388;;;Головка 21114 голая;;29771;шт;43000;0;;;;;;0;;;
389;21126-1003011-00;;Головка 2112 16кл голая;8700;48002;шт;58000;0;;;;;;0;;;
390;21126-1003007-00;;Головка 2170 16кл 1.6 в сборе;;57415;шт;70000;0;;;;;;0;;;
391;21213-1003011-01;;Головка 213 в сборе;6500;;шт;50000;0;;;;;;0;;;
392;21214-1003011-01;;Головка 214 в сборе;7100;;шт;54000;0;;;;;;0;;;
393;2104-1003011-60;;Головка 214 голоя;4500;;шт;35000;0;;;;;;0;1280;;
394;21011-1003011-10;;Головка голая 01;;27120;шт;32500;0;;;;;;0;;;
395;21213-1003011-00;;Головка голая 213;3600;26922;шт;32500;1;;;;;;32500;у5631;;
396;21214-1003011-30СБ;;Головка Шеви в сборе ст/об под датчик;7200;;шт;55000;1;;;;;;55000;120900;;
397;2123-1003015;;Головка Шеви н/об голая;3500;17803;шт;25000;0;;;;;;0;120901;;
398;2123-1003015СБ;;Головка Шеви н/об в сборе;9100;;шт;55000;0;;;;;;0;113064;;
399;21214-1003011-30;;Головка Шеви ст/об голая;6000;;шт;45000;0;;;;;;0;;;
400;2101-1109175;;Гофра на воздухан 07-213 зима-лето;;100;шт;150;12;;;;;;1800;;;
401;2108-1109175;;Гофра на воздухан 08 зима-лето;;50;шт;100;7;;;;;;700;120902;;
402;21073-1148034;;Гофра на воздухан 073 инжектор;230;;шт;1700;0;;;;;;0;;;
403;21073-1148034-04;;Гофра на воздухан 073 инжектор прямая;100;;шт;1000;1;;;;;;1000;121468;;
404;21154-1148035-01;;Гофра на воздухан 2111;160;;шт;1200;1;;;;;;1200;Т4477;;
405;2170-1148035-01;;Гофра на воздухан 2112;170;;шт;1300;1;;;;;;1300;116051;;
406;21214-1148034/35СБ;;Гофра на воздухан 214 в сборе;550;;шт;4700;0;;;;;;0;;;
407;21214-1148034-02;;Гофра на воздухан 214 большая;170;;шт;1300;1;;;;;;1300;;;
408;21214-1148035-12;;Гофра на воздухан 214 малая;170;;шт;1400;1;;;;;;1400;;;
409;2123-1148034-01;;Гофра на воздухан Шеви большая волна;395;;шт;3000;1;;;;;;3000;121469;;
410;2123-1148035-11;;Гофра на воздухан Шеви маленькая;120;;шт;1300;1;;;;;;1300;;;
411;21902-2215012;;Граната наружная 2190 АКПП;;7047;шт;9000;0;;;;;;0;;;
412;11186-2215012В;;Граната наружная Приора ВАЗ с АБС;950;5116;шт;6200;2;;;;;;12400;116360;;
413;11186-2215012Б;;Граната наружная Приора Белмаг с АБС;;3231;шт;4000;2;;;;;;8000;;;
414;2110-2215012К;*;Граната наружная 09 Китай;;1906;шт;2300;5;;;;;;11500;;;
415;2108-2215012-86;;Граната наружная 08 ВАЗ с пыл;;2325;шт;2900;1;;;;;;2900;68821;;
416;2110-2215012Р;;Граната наружняя 08 Самара;290;;шт;2300;3;;;;;;6900;;;
417;2110-2215012Б;;Граната наружная 08 Белмаг;;2552;шт;3000;0;;;;;;0;;;
418;21902-2215056;;Граната внутренняя 2190 АКПП;;7560;шт;9000;0;;;;;;0;;;
419;2110-2215056К;*;Граната внутренняя 09 Китай;;2450;шт;3000;6;;;;;;18000;68822;;
420;2108-2215056-86;;Граната внутренняя 08 ВАЗ с пыл;;2567;шт;3200;2;;;;;;6400;;;
421;2110-2215056Р;;Граната внутренняя 08  Самара;290;;шт;2300;4;;;;;;9200;;;
422;2110-2215056Б;;Граната внутренняя 08 Белмаг шарик;;3104;шт;3750;0;;;;;;0;;;
423;21213-2215012К;*;Граната 213 наружная Китай;65;2258;шт;2800;2;;;;;;5600;;;
424;21213-2215012;;Граната наружная 2121 Кронер;;2818;шт;3400;3;;;;;;10200;С7215;;
425;21213-2215012Б;;Граната наружная 2121 Белмаг;;2915;шт;3600;0;;;;;;0;;;
426;21213-2215012Р;;Граната наружняя 213 рест;500;;шт;3800;1;;;;;;3800;;;
427;21213-2215012В;;Граната наружняя 213 ВАЗ;760;2912;шт;4400;0;;;;;;0;;;
428;21213-2215057К;*;Граната 213 внутренняя левая  ;85;2650;шт;3400;0;;;;;;0;;;
429;21213-2215057Б;;Граната внутренняя левая 2121 Белмаг трипоидная;;4400;шт;5300;2;;;;;;10600;Т5603;;
430;21213-2215057В;;Граната внутренняя левая 213 ВАЗ;850;;шт;6800;1;;;;;;6800;;;
431;21213-2215057Р;;Граната внутренняя левая 213 рест;;;шт;4400;0;;;;;;0;Т4474;;
432;21213-2215057;;Граната внутренняя левая 213 деш;830;3900;шт;6300;0;;;;;;0;8266;;
433;21213-2215054К;*;Граната 213 внутренняя правая ;110;3500;шт;4400;0;;;;;;0;115821;;
434;21213-2215054Б;;Граната внутренняя правая 2121 Белмаг трипоидная;;4624;шт;5550;0;;;;;;0;;;
435;21213-2215054;;Граната внутренняя правая 213 деш;;4500;шт;5000;0;;;;;;0;116361;;
436;21213-2215054Р;;Граната внутренняя правая 213 рес;;;шт;4400;1;;;;;;4400;;;
437;21213-2215054В;;Граната внутренняя правая 213 ВАЗ;850;;шт;6800;0;;;;;;0;;;
438;2123-2215012К; ;Граната наружная Шеви Кронер;;3151;шт;3800;1;;;;;;3800;;;
439;2123-2215012АБС;;Граната наружная Шеви ВАЗ с АБС;;3846;шт;4700;0;;;;;;0;116362;;
440;2123-2215012Р;;Граната наружная Шеви рест;500;;шт;3800;2;;;;;;7600;;;
441;2123-2215012Б;;Граната наружная Шеви БЕЛМАГ;;2915;шт;3600;0;;;;;;0;;;
442;2123-2215012;;Граната наружная Шеви ВАЗ без пыльника;;3846;шт;4700;0;;;;;;0;;;
443;2123-2215012-86;;Граната наружная Шеви ВАЗ с пыльником;;3314;шт;4500;2;;;;;;9000;3560;;
444;2123-2215057В;;Граната внутренняя левая Шеви ВАЗ;850;;шт;7000;0;;;;;;0;1179;;
445;2123-2215057Б;;Граната внутренняя левая Шеви Белмаг шарик;;4936;шт;6000;0;;;;;;0;;;
446;2123-2215057;;граната внутренняя левая Шеви деш;850;;шт;6400;0;;;;;;0;3302;;
447;2123-2215057F;;Граната внутренняя левая Шеви Фенокс;;4700;шт;6400;1;;;;;;6400;121303;;
