№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
;;;;;;;;;;;;;Итого:;20248320;;;
;;;Б;;;;;;;;;;;;;;
661;2108-евро с часами;;Накладка панели 2108 евро с часами;;2430;шт;3000;2;;;;;6000;3600;117903;;
662;2121 евро;;Накладка панели 2121 евро;;2268;шт;3000;2;;;;;6000;3600;117899;;
663;21213 евро;;Накладка панели 21213 евро;;3483;шт;4500;1;;;;;4500;5400;118278;;
664;2109Хром;;Накладка порога ХРОМ 2109;;1169;кт;1500;2;;;;;3000;1800;у8957      ;;
665;2110Хром;;Накладка порога ХРОМ 2110;;1533;кт;2200;1;;;;;2200;2640;у8959      ;;
666;АКС-970;;Накладка ручек дверей 2109-2115 ХРОМ (4 шт.);;1567;кт;1800;0;;;;;0;2160;;;
667;АКС-942;;Накладка ручек дверей 2110-2112 ХРОМ (4 шт.);;888;кт;1000;2;;;;;2000;1200;66742;;
668;АКС-971;;Накладка ручек дверей 2123-2170 ХРОМ (5 шт.);;2040;кт;1000;1;;;;;1000;1200;66959;;
669;2121-00004;;Накладки на крылья 213;350;2167;кт;3000;3;;;;;9000;3600;;;
670;2121-00004кв;;Накладки на крылья 213 квадратные;350;2167;кт;3000;4;;;;;12000;3600;;;
671;2121-00004хром;;Накладки на крылья 213 крашенные ;3000;;кт;4000;1;;;;;4000;4800;;;
672;2121-00004хром кв;;Накладки на крылья 213 крашенные квадратные;3000;;кт;4000;5;;;;;20000;4800;;;
673;диф-2121;;Накладки задних стоек 2121 жабры;200;1200;кт;1500;3;;;;;4500;1800;;;
674;;;О;;;;;0;;;;;0;0;;;
675;2105-2107-5004210;;Обшивка багажника 2105                                                                              ;;1891;кт;2600;9;;;;;23400;3120;4588;;
676;2106-5004210;;Обшивка багажника 2106                                                                              ;;2166;кт;2800;5;;;;;14000;3360;1089;;
677;2108-5602011/12;;Обшивка багажника 2108, 2109 ворс;;1556;кт;2500;1;;;;;2500;3000;;;
678;2121-5004032/33;;обшивка багажника 2121;320;2109;кт;3000;4;;;;;12000;3600;2009;;
679;21213-5004032/33;;Обшивка багажника 21213;320;1832;кт;3000;11;;;;;33000;3600;4932;;
680;21214-5004033;;Обшивка багажника 21214;;2223;кт;3800;5;;;;;19000;4560;117923;;
681;2131-5004032/33;;Обшивка багажника 2131 5ти дв;;6010;кт;4000;1;;;;;4000;4800;117924;;
682;2121-5109069;;Обшивка боковины 2121 левая;;542;шт;800;8;;;;;6400;960;117928;;
683;2121-51090668;;Обшивка боковины 2121 правая;;506;шт;800;9;;;;;7200;960;117929;;
684;21214-5109069;;Обшивка боковины 214 левая;;513;шт;800;5;;;;;4000;960;117927;;
685;21214-8201385-00;;Облицовка зеркала уголок в салоне левая;;93;шт;200;7;;;;;1400;240;118729;;
686;21214-8201384-00;;Облицовка зеркала уголок в салоне правая;;93;шт;200;6;;;;;1200;240;118727;;
687;21213-6810049;;Облицовка пер сиденья лев;;179;шт;400;8;;;;;3200;480;;;
688;21213-6810048;;Облицовка пер сиденья пр;;179;шт;400;8;;;;;3200;480;;;
689;21213-6814273;;Обшивка боковины пер сиденья 213 левая глухая;;122;шт;200;4;;;;;800;240;117936;;
690;21213-6814309;;Обшивка боковины пер сиденья 213 левая с отверстием;;40;шт;100;5;;;;;500;120;;;
691;21213-6814272;;Обшивка боковины пер сиденья 213 правая глухая;;122;шт;200;4;;;;;800;240;117935;;
692;21213-6814308;;Обшивка боковины пер сиденья 213 правая с отверстием;;40;шт;100;5;;;;;500;120;;;
693;2121-6302010;;Обшивка двери задка багажника 2121 верх;;594;шт;1000;9;;;;;9000;1200;118531;;
694;2121-5004204;;Обшивка двери задка багажника 2121 низ;;684;шт;1000;9;;;;;9000;1200;118532;;
695;21213-6302010;;Обшивка двери задка багажника 21213 верх;;798;шт;1400;8;;;;;11200;1680;120886;;
696;2106-6102012-00;;Обшивка дверей 2101-2107 Ворс;;1419;кт;1900;3;;;;;5700;2280;;;
697;2106-6102012-кожа;;Обшивка дверей 2101-2107 Кожа;;1794;кт;2200;11;;;;;24200;2640;121142;;
698;21213-6102013;;Обшивка дверей 213 кожа;195;1242;кт;1600;10;;;;;16000;1920;;;
699;21213-6102014;;Обшивка дверей 213 ворс;;1316;кт;1700;9;;;;;15300;2040;7155;;
700;21214-6102013-00;;Обшивка дверей 214 лев, пр;;18206;кт;22000;1;;;;;22000;26400;;;
701;2115-6102014;;Обшивка дверей 2115;;12681;кт;19000;1;;;;;19000;22800;7447;;
702;21700-5007402-00;;Обшивка капота 2170 АвтоВаз;;2040;шт;3000;1;;;;;3000;3600;;;
703;2190-5007402-00;;Обшивка капота 2190 АвтоВаз;;1701;шт;2500;2;;;;;5000;3000;118732;;
704;2121-5004102-00;;Обшивка потолка 2121;;1017;шт;1700;0;;;;;0;2040;2008;;
705;21213-5004071;;Обшивка центральной стойки левая 2121;;223;шт;300;5;;;;;1500;360;116925;;
706;21213-5004070;;Обшивка центральной стойки правая 2121;;223;шт;300;5;;;;;1500;360;116924;;
707;2101-6106082;;Ограничитель двери 2101-03-06;;156;шт;250;8;;;;;2000;300;686;;
708;2107-6106082;;Ограничитель двери 2107;;290;шт;500;7;;;;;3500;600;118757;;
709;2110-6106082;;Ограничитель двери 2108-2110;;318;шт;450;6;;;;;2700;540;118758;;
710;2121-6106082-ПЕНЗ;;Ограничитель двери 2121;;326;шт;400;4;;;;;1600;480;118759;;
711;АКС-925;;Отбойник капота Дельта (спойлер) 1118;;1441;шт;2000;1;;;;;2000;2400;120603;;
712;АКС-644;;Отбойник капота Дельта (спойлер) 2105  ;;1171;шт;1800;5;;;;;9000;2160;8616;;
713;АКС-645;;Отбойник капота Дельта (спойлер) 2106;;815;шт;1800;8;;;;;14400;2160;8617;;
714;АКС-646;;Отбойник капота Дельта (спойлер) 2107;;1102;шт;1800;1;;;;;1800;2160;8618;;
715;АКС-647от;;Отбойник капота Дельта (спойлер) 2108;;797;шт;1800;13;;;;;23400;2160;8619;;
716;АКС-648;;Отбойник капота Дельта (спойлер) 2110;;1171;шт;1800;5;;;;;9000;2160;8620;;
717;АКС-649;;Отбойник капота Дельта (спойлер) 2115;;1312;шт;1800;10;;;;;18000;2160;8621;;
718;АКС-643;;Отбойник капота Дельта (спойлер) 21213;;1112;шт;1800;5;;;;;9000;2160;8622;;
719;АКС-639;;Отбойник капота Дельта (спойлер) 2123;;1650;шт;2500;1;;;;;2500;3000;120599;;
720;АКС-1025п;;Отбойник капота Дельта (спойлер) 2170;;1142;шт;1800;2;;;;;3600;2160;70548;;
721;АКС-1025;;Отбойник капота Дельта (спойлер) 2190  ;;1175;шт;2000;3;;;;;6000;2400;117021;;
722;DK-00026;;Отбойник капота Дельта (спойлер) Ларгус;;1316;шт;2000;4;;;;;8000;2400;118593;;
723;2101-8402070Р;;Отбойник капота регулируемый 2101, 2103, 2106 Балаково;;15;шт;100;13;;;;;1300;120;70341;;
