№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
84;2101-08-12058880-;;Клеммы (колодка реле 113);;14;шт;20;50;;;;;;1000;7285;;
85;2101-08-12058880-1;;Клеммы (колодка электропроводки 1 конт) 2101-2110;;10;шт;20;70;;;;;;1400;7282;;
86;2101-08-12058880-2;;Клеммы (колодка электропроводки 2-х конт) ;;17;шт;25;8;;;;;;200;7284;;
87;2101-12058880;;Клеммы (колодка электропроводки 4-х конт) 2101-2110;;21;шт;30;41;;;;;;1230;67292;;
88;europapa;;Клеммы EURO электровпроводки (папа) с изоляцией;;10;шт;20;50;;;;;;1000;Т0012;;
89;клемма_м;;Клеммы электропроводки (мама);;9;шт;20;50;;;;;;1000;4218;;
90;п_м;;Клеммы электропроводки (папа);;9;шт;20;50;;;;;;1000;3018;;
91;dad;;Клеммы электропроводки (папа) с изоляцией;;9;шт;20;50;;;;;;1000;ф6381;;
92;масса6;;Клеммы электропроводки масса круглая диам.6;;12;шт;20;20;;;;;;400;Т4759;;
93;масса8;;Клеммы электропроводки масса круглая диам.8;;24;шт;30;6;;;;;;180;Т4760;;
94;77772;;Ключ балонный 2101 19мм (удлин) Сервис Ключ;;488;шт;700;2;;;;;;1400;67355;;
95;75310;;Ключ Г-образный под шпильку 10мм Сервис Ключ;;329;шт;450;1;;;;;;450;68324;;
96;75312;;Ключ Г-образный под шпильку 12мм Сервис Ключ;;296;шт;400;1;;;;;;400;68325;;
97;75313;;Ключ Г-образный под шпильку 13мм Сервис Ключ;;361;шт;500;1;;;;;;500;68326;;
98;75314;;Ключ Г-образный под шпильку 14мм Сервис Ключ;;405;шт;550;1;;;;;;550;68327;;
99;75315; ;Ключ Г-образный под шпильку 15мм Сервис Ключ;;407;шт;550;1;;;;;;550;68328;;
